기준년월,지번코드,지번코드 위치,00시~01시 유동인구,01시~02시 유동인구,02시~03시 유동인구,03시~04시 유동인구,04시~05시 유동인구,05시~06시 유동인구,06시~07시 유동인구,07시~08시 유동인구,08시~09시 유동인구,09시~10시 유동인구,10시~11시 유동인구,11시~12시 유동인구,12시~13시 유동인구,13시~14시 유동인구,14시~15시 유동인구,15시~16시 유동인구,16시~17시 유동인구,17시~18시 유동인구,18시~19시 유동인구,19시~20시 유동인구,20시~21시 유동인구,21시~22시 유동인구,22시~23시 유동인구,23시~00시 유동인구,00시~01시 유동인구 비율,01시~02시 유동인구 비율,02시~03시 유동인구 비율,03시~04시 유동인구 비율,04시~05시 유동인구 비율,05시~06시 유동인구 비율,06시~07시 유동인구 비율,07시~08시 유동인구 비율,08시~09시 유동인구 비율,09시~10시 유동인구 비율,10시~11시 유동인구 비율,11시~12시 유동인구 비율,12시~13시 유동인구 비율,13시~14시 유동인구 비율,14시~15시 유동인구 비율,15시~16시 유동인구 비율,16시~17시 유동인구 비율,17시~18시 유동인구 비율,18시~19시 유동인구 비율,19시~20시 유동인구 비율,20시~21시 유동인구 비율,21시~22시 유동인구 비율,22시~23시 유동인구 비율,23시~00시 유동인구 비율,데이터기준일자,Latitude,Longitude
Nov-15,5013010000000000000,제주특별자치도 서귀포시 토평동 1000-128,50.48,26.66,18.85,13.34,14.77,31.9,108.13,233,378.41,481.28,542.01,567.8,581.13,562.37,563.09,576.56,616.92,690.57,606.55,418.15,326.58,243.01,152.77,89.32,0.002404452,0.001890619,0.001977131,0.001979666,0.002441159,0.003168646,0.004867211,0.004476053,0.004327808,0.004126549,0.003994087,0.004005175,0.004179501,0.003957057,0.003913801,0.003880475,0.003875496,0.003970397,0.003756077,0.003468702,0.003335365,0.003028161,0.002858819,0.00260377,2015-11-30,33.2612968,126.5813988
Nov-15,5013010000000000000,제주특별자치도 서귀포시 토평동 1999-9488,15.52,8.25,6.56,5.07,6.78,14.58,51.92,107.73,174.5,221.89,251.1,261.17,269.21,255.05,250.52,254.44,267.18,290.23,235.1,150.45,113.73,79.41,48.27,26.3,0.000739124,0.000584951,0.00068752,0.000752274,0.001120999,0.00144827,0.002337065,0.00206945,0.001995658,0.001902474,0.001850339,0.001842278,0.001936195,0.001794623,0.001741298,0.001712505,0.00167839,0.001668663,0.001455866,0.001248023,0.001161551,0.000989565,0.000903276,0.000766743,2015-11-30,33.2776621,126.5839721
Nov-15,5013010000000000000,제주특별자치도 서귀포시 토평동 2999-9872,39.44,20.26,13.86,10.51,13.15,31.97,103.97,234.11,358.22,436.36,487.53,509.96,525.09,499.47,494,508.4,552.07,621.49,540.09,357.12,275.63,202.81,125.25,70.76,0.001878382,0.001436847,0.001453652,0.0015599,0.002171993,0.003175897,0.004680012,0.004497242,0.0040969,0.003741386,0.003592621,0.00359718,0.003776446,0.00351441,0.00343358,0.003421773,0.003468099,0.003573217,0.00334452,0.002962454,0.002815049,0.002527157,0.002343792,0.002062851,2015-11-30,33.2863338,126.561198
Nov-15,5013010000000000000,제주특별자치도 서귀포시 토평동 9999-9488,2.71,1.37,0.91,0.67,0.82,2.22,8.23,20.33,34.11,44.33,50.37,52.28,52.39,50.38,49.89,51.94,54.66,58.43,45.86,27.75,20.75,15.05,9,4.97,0.000128858,9.74682E-05,9.51461E-05,9.94755E-05,0.000134775,0.000220055,0.000370482,0.000390565,0.000390088,0.000380084,0.000371157,0.00036881,0.0003768,0.000354482,0.000346794,0.000349584,0.000343385,0.000335955,0.000283959,0.000230225,0.000211907,0.000187502,0.000168496,0.00014478,2015-11-30,33.2874612,126.5731538
Nov-15,5013010000000000000,제주특별자치도 서귀포시 중문동 9999-9488,5.06,3.52,2.86,2.98,3.37,3.89,8.79,21.41,34.47,50.4,61.86,70.83,66.65,64.42,62.02,60.42,60.19,58.84,39.08,19.89,14.35,11.43,8.03,5.48,0.000241141,0.000249285,0.000300224,0.000442372,0.000556947,0.000386603,0.00039545,0.000411254,0.000394278,0.000432106,0.000455835,0.000499641,0.000479337,0.000453296,0.000431096,0.000406656,0.000378137,0.000338286,0.000242001,0.000164996,0.000146516,0.000142477,0.000150288,0.000159881,2015-11-30,33.3064679,126.4426404
Nov-15,5013010000000000000,제주특별자치도 서귀포시 중문동 9999-9744,1.89,1.07,0.86,0.72,0.91,1.42,4.63,13.46,20.5,29.24,35.45,38.77,36.05,35.46,35.38,35.45,36.63,37.91,27.25,13.7,10.19,7.87,5.09,2.96,9.01499E-05,7.56248E-05,8.97981E-05,0.000107242,0.000149646,0.00014135,0.000208626,0.000258494,0.000234396,0.00025071,0.000261233,0.000273468,0.000259273,0.000249504,0.000245925,0.000238583,0.000230128,0.000217948,0.000168745,0.000113643,0.000104098,9.80709E-05,9.52268E-05,8.63295E-05,2015-11-30,33.3064679,126.4426404
Nov-15,5013010000000000000,제주특별자치도 서귀포시 중문동 1000-128,15.81,8.57,6.94,4.47,5.51,8.04,22.53,54.29,89.06,114.88,133.86,138.74,138.85,135.84,132.63,136.43,144.1,158.1,141.78,97.36,78.42,61.33,41.95,24.52,0.000753159,0.000607575,0.000727752,0.000663681,0.000910601,0.000798171,0.001014171,0.001042947,0.001018564,0.000984979,0.000986426,0.00097864,0.000998601,0.000955799,0.000921889,0.000918234,0.000905249,0.000908987,0.000877986,0.00080766,0.000800949,0.000764273,0.000784994,0.000714803,2015-11-30,33.2646702,126.4265248
Nov-15,5013010000000000000,제주특별자치도 서귀포시 중문동 2999-9872,28.43,16.28,10.9,7.1,7.68,11.45,32.61,81.03,144.66,202.94,248.64,266.6,256.93,264.41,264.05,269.57,279.59,295.05,261.67,187,152.76,122.27,83.67,48.41,0.001353963,0.001154253,0.001143536,0.001052927,0.001268222,0.001137028,0.00146811,0.001556592,0.001654496,0.001740061,0.001832268,0.001880579,0.001847882,0.001860493,0.001835277,0.001814301,0.001756358,0.001696365,0.001620386,0.001551224,0.001560114,0.001523524,0.001565816,0.001411211,2015-11-30,33.3064679,126.4426404
Nov-15,5013010000000000000,제주특별자치도 서귀포시 중문동 1999-9488,110.56,64.01,38.82,22.63,24.83,37.43,111.94,306.51,535.37,686.22,815.65,874.92,860.74,870.99,866.47,913.8,959.2,1065.67,1023.14,759.13,632.35,506.1,347.64,198.72,0.005265861,0.004539731,0.004071289,0.003357978,0.004103297,0.003718154,0.005039,0.005888145,0.006122838,0.005883744,0.006010534,0.006171589,0.006190441,0.006128575,0.006022514,0.006150272,0.006025643,0.006127024,0.006335819,0.006297182,0.006458183,0.006306486,0.006505502,0.005793268,2015-11-30,33.2529539,126.4281851
Nov-15,5013010000000000000,제주특별자치도 서귀포시 회수동 9999-9744,2.8,1.48,1.11,0.72,0.89,1.75,5.52,14.4,22.51,29.09,33.45,34.81,33.88,33.43,32.95,33.62,35.5,38.95,33.54,21.83,17.31,13.8,8.77,4.84,0.000133351,0.000104962,0.000116433,0.000106895,0.000146617,0.000174031,0.000248509,0.000276577,0.00025746,0.000249458,0.000246465,0.000245529,0.000243644,0.000235192,0.000229009,0.0002263,0.000223016,0.000223935,0.000207713,0.000181117,0.000176743,0.000171993,0.00016408,0.000141233,2015-11-30,33.2730775,126.4443267
