주차장관리번호,주차장명,주차장구분,주차장유형,주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,관리기관명,위도,경도
405-2-000026,정든로 공영주차장,공영,노외,제주특별자치도 제주시 이도2동 429-7,62,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4909191,126.5341622
405-2-000027,동광 공영주차장,공영,노외,제주특별자치도 제주시 일도2동 82-8,71,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5061057,126.541256
405-2-000028,화북일동 공영주차장,공영,노외,제주특별자치도 제주시 화북1동 2130-6,100,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5141133,126.5631438
405-2-000029,동광 제2 공영주차장,공영,노외,제주특별자치도 제주시 일도2동 112,90,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5061057,126.541256
405-2-000030,노형 제3 공영주차장,공영,노외,제주특별자치도 제주시 노형동 1043-1,123,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4896065,126.4765084
405-2-000031,고산동산 공영주차장,공영,노외,제주특별자치도 제주시 이도이동 1012-10,50,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4956652,126.5314225
405-2-000032,공항입구 공영주차장,공영,노외,제주특별자치도 제주시 용담2동 1611-2,208,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,1000,15,500,제주특별자치도 제주시청,33.5084457,126.4990864
405-2-000033,광양초 서측 공영주차장,공영,노외,제주특별자치도 제주시 이도1동 1257-4,46,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5060359,126.5275776
405-2-000034,성신로 공영주차장,공영,노외,제주특별자치도 제주시 연동 2322-7,60,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4910517,126.486035
405-2-000035,용두암 공영주차장,공영,노외,제주특별자치도 제주시 용담2동 483,62,1,미시행,평일+토요일+공휴일,9:00,18:00,9:00,18:00,9:00,18:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5084457,126.4990864
405-2-000036,탑동 제1 공영주차장,공영,노외,제주특별자치도 제주시 삼도이동 1263,66,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5172685,126.5241739
405-2-000037,탑동 제2 공영주차장,공영,노외,제주특별자치도 제주시 삼도이동 1257,74,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,0,0,제주특별자치도 제주시청,33.5183167,126.5198367
